SERIAL,FARE,FAREK,SPEND,SPENDIMPREASON
230128840067,75,4,875,
230128840068,43,,770,
230128840071,69,5,2400,
230128840073,326,6,,
230128840079,70,2,360,
230128928001,,,,
230128928005,,,,
230128928009,71,1,,
230128928010,,,,
230128928016,42,,800,
230128928017,69,1,,
230128928022,103,4,,
230128928023,76,4,1443,
230128928029,75,4,363,
230128928030,123,2,,
230128928036,123,2,,
230128928037,89,4,,
230128928045,80,4,,
230128928049,63,4,607,
230128928054,,,,
230128928055,137,5,0,
230128928057,,,,
230128928058,57,5,,
230128928064,69,5,,
230128928065,,,,
230128929004,103,1,,
230128929006,105,,,
230128929010,73,5,337,
230128929011,,,,
230128929018,,,,
230128929019,75,4,2560,
230128929024,,,,
230128929027,,,,
230128929031,76,4,1008,
230128929034,,,,
230128929038,141,5,,
230128929039,183,,565,
230128929043,,,,
230128929044,,,,
230128929050,111,5,,
230128929051,,,,
230128929058,,,,
230128929059,,,,
230128929065,557,6,,1
230128929067,,,,
230128929071,,,,
230128929072,400,5,,
230128929080,84,1,,
230128929082,,,,
230128929085,56,4,146,
230128929086,,,,
230128963001,70,2,477,
230128963002,50,,116,
230128963009,,,,
230128963010,70,2,587,
230128963016,400,,325,
230128963017,65,3,418,
230128963022,,,,
230128963027,,,,
230128963029,,,,
230128963030,,,,
230128963036,87,4,,
230128963037,40,,347,
230128963045,87,4,1236,
230128963048,175,,78,
230128963050,117,6,,
230128963052,,,,
230128963059,63,4,,
230128963060,75,4,447,
230128963064,,,,
230128963066,53,4,,
230128963071,,,,
230128963072,50,,58,
230128963078,,,,
230128963079,100,,188,
230128963086,,,,
230128963088,71,1,256,
230138019001,76,4,566,
230138019003,87,4,,
230138019007,,,,
230138019008,82,5,,
230138019010,,,,
230138019015,82,2,,
230138019019,1519,6,950,
230138019022,100,,492,
230138019025,326,6,,
230138019029,141,5,,
230138019030,200,,800,
230138019037,275,,2000,
230138019039,,,,
230138019043,90,,697,
230138019044,104,2,218,
230138019050,67,1,,
230138019052,104,2,1170,
230138310005,80,4,,
230138310006,288,6,2274,
230138310010,,,,
230138310014,82,5,,
230138310016,150,,1500,
230138310019,70,2,,
230138310022,93,2,678,
230138310023,264,5,,
230138310029,117,6,,
230138310030,100,,950,
230138310037,104,2,892,
230138310038,70,2,457,
230138310047,,,,
230138711004,53,4,,
230138711005,,,,
230138711010,175,,400,
230138711011,45,4,,
230138711016,104,2,440,
230138711017,437,6,0,
230138711022,125,,800,
230138711024,104,2,262,
230138711029,600,,774,
230138711031,65,,75,
230138711036,40,,174,
230138711038,70,2,,
230138777001,76,4,422,
230138777002,87,4,1543,
230138777004,,,,
230138777008,400,,1545,
230138777011,288,6,1306,
230138777015,72,5,,
230138777016,650,,2000,
230138777024,104,2,553,
230138777026,70,2,359,
230138777030,70,2,187,
230138777031,140,,200,
230138777038,104,2,401,
230138777039,70,2,845,
230138777044,225,5,823,
230138777045,141,5,,
230138777053,40,,434,
230138840004,76,4,457,
230138840007,99,6,,
230138840013,389,6,,
230138840014,116,5,,
230138840017,83,,330,
230138840019,84,1,,
230138840022,250,,1200,
230138840027,70,2,587,
230138840029,,,,
230138840030,104,2,733,
230138840041,264,5,,
230138840042,169,7,,
230138840043,70,2,478,
230138840046,,,,
230138840050,88,4,,
230138840051,,,,
230138840058,123,2,,
230138840059,70,2,927,
230138929002,87,4,706,
230138929003,328,6,,
230138929011,,,,
230138929012,264,5,,
230138929015,288,6,509,
230138929016,57,5,,
230138929017,,,,
230138929022,455,6,112,
230138929023,,,,
230138929027,,,,
230138929031,82,2,,
230138929032,326,6,,
230138929037,80,4,,
230138929043,104,2,830,
230138929044,143,7,489,
230138929054,,,,
230138929055,,,,
230138929057,,,,
230138929058,,,,
230138929064,65,3,510,
230138929065,104,2,651,
230138963001,87,4,1023,
