SERIAL,SPEND,SPENDIMPREASON,FARE,FAREK,OPERA_PV
230039635032.0,533.0,,65.0,0.0,1.0
230039635033.0,130.0,,176.0,7.0,2.0
230039635035.0,1020.0,,65.0,0.0,1.0
230039635036.0,484.0,,44.0,1.0,2.0
230039635038.0,260.0,,65.0,,1.0
230039635047.0,261.0,,63.0,,2.0
230039635048.0,,,55.0,3.0,2.0
230039635052.0,,,55.0,0.0,1.0
230039635053.0,499.0,,109.0,,2.0
230039635054.0,456.0,,12.0,2.0,1.0
230039635057.0,377.0,,49.0,2.0,1.0
230039635061.0,587.0,,75.0,,1.0
230039635062.0,540.0,,60.0,2.0,1.0
230039635066.0,1131.0,,76.0,2.0,2.0
230039635067.0,168.0,,71.0,2.0,1.0
230039841104.0,327.0,,30.0,,2.0
230039841105.0,,,,,1.0
230039841109.0,507.0,,58.0,1.0,2.0
230039841110.0,379.0,,53.0,,1.0
230039841113.0,,,,,1.0
230039841120.0,,,73.0,0.0,1.0
230039841124.0,1070.0,,44.0,1.0,2.0
230039841134.0,174.0,,90.0,,1.0
230039841135.0,299.0,,77.0,1.0,2.0
230039841136.0,1822.0,,75.0,,2.0
230039841139.0,139.0,,76.0,2.0,2.0
230039841140.0,589.0,,60.0,2.0,1.0
230039878072.0,260.0,,60.0,,2.0
230039878076.0,718.0,,62.0,0.0,1.0
230039878079.0,,,43.0,0.0,2.0
230039878080.0,174.0,,69.0,,2.0
230039878081.0,,,73.0,0.0,1.0
230039878082.0,617.0,,58.0,1.0,2.0
230039878083.0,610.0,,58.0,1.0,2.0
230039878084.0,919.0,,62.0,0.0,1.0
230039878085.0,,,91.0,0.0,2.0
230039878086.0,260.0,,65.0,0.0,1.0
230039878088.0,,,,,1.0
230039878090.0,,,54.0,3.0,2.0
230039878091.0,500.0,,31.0,,2.0
230039878093.0,461.0,,63.0,,2.0
230039878094.0,607.0,,100.0,,1.0
230039878095.0,521.0,,80.0,3.0,1.0
230039878097.0,434.0,,100.0,,2.0
230039878099.0,350.0,,75.0,,1.0
230039878102.0,,,71.0,2.0,1.0
230039878103.0,851.0,,60.0,2.0,1.0
230039878104.0,1047.0,,76.0,2.0,2.0
230039878106.0,498.0,,76.0,1.0,1.0
230039878108.0,,,,,1.0
230039878110.0,,,76.0,1.0,2.0
230039878114.0,,,89.0,2.0,2.0
230039878116.0,381.0,,60.0,2.0,1.0
230039878117.0,537.0,,76.0,2.0,2.0
230039926132.0,418.0,,47.0,1.0,1.0
230039926136.0,415.0,,62.0,0.0,1.0
230039926137.0,434.0,,50.0,,2.0
230039926140.0,342.0,,65.0,0.0,1.0
230039926142.0,638.0,,77.0,0.0,2.0
230039926144.0,304.0,,68.0,,1.0
230039926145.0,434.0,,60.0,,1.0
230039926146.0,347.0,,25.0,,1.0
230039926147.0,1000.0,,38.0,1.0,1.0
230039926149.0,868.0,,80.0,,1.0
230039926151.0,1420.0,,62.0,0.0,1.0
230039926152.0,580.0,,53.0,1.0,2.0
230039926153.0,1353.0,,53.0,1.0,2.0
230039926155.0,325.0,,26.0,,1.0
230039926156.0,450.0,,43.0,,1.0
230039926158.0,,,,,1.0
230039926159.0,,,55.0,3.0,2.0
230039926160.0,375.0,,56.0,,1.0
230039926161.0,460.0,,60.0,2.0,1.0
230039926162.0,1156.0,,76.0,2.0,2.0
230039926163.0,,,,,1.0
230039926164.0,,,,,1.0
230039926166.0,804.0,,64.0,1.0,2.0
230039926170.0,400.0,,43.0,,1.0
230041607001.0,0.0,,68.0,1.0,2.0
230041607012.0,,,52.0,1.0,2.0
230041607032.0,,,73.0,0.0,1.0
230041607034.0,,,73.0,5.0,1.0
230041607037.0,,,77.0,5.0,2.0
230049543003.0,,,55.0,3.0,2.0
230049543015.0,0.0,,73.0,0.0,1.0
230049543023.0,0.0,,77.0,5.0,2.0
230049543025.0,,,73.0,0.0,1.0
230049543027.0,,,73.0,0.0,1.0
230049543036.0,,,,,1.0
230049543037.0,474.0,,45.0,1.0,2.0
230049543048.0,,,89.0,1.0,1.0
230049841005.0,,,80.0,3.0,1.0
230049841010.0,,,68.0,1.0,2.0
230049841013.0,22.0,,68.0,1.0,2.0
230049841019.0,,,52.0,1.0,2.0
230049841021.0,,,68.0,1.0,2.0
230049841030.0,,,73.0,0.0,1.0
230049841034.0,,,68.0,1.0,2.0
230049841037.0,,,73.0,0.0,1.0
230049841038.0,27.0,,60.0,0.0,1.0
230049841040.0,,,68.0,1.0,2.0
230049841054.0,,,56.0,1.0,1.0
230049841062.0,,,89.0,1.0,1.0
230049878007.0,,,73.0,0.0,1.0
230049878011.0,,,73.0,0.0,1.0
230049878012.0,,,73.0,0.0,1.0
230049878016.0,,,73.0,0.0,1.0
230049878019.0,,,68.0,1.0,2.0
230049878021.0,,,73.0,0.0,1.0
230049878023.0,,,73.0,0.0,1.0
230049878027.0,,,73.0,0.0,1.0
230049878028.0,,,77.0,5.0,2.0
230049878029.0,,,68.0,1.0,2.0
230049878041.0,,,89.0,1.0,1.0
230049878045.0,189.0,,56.0,1.0,1.0
230049878048.0,315.0,,56.0,1.0,1.0
230049878052.0,,,,,1.0
230049878059.0,115.0,,89.0,1.0,1.0
230049926002.0,,,73.0,0.0,1.0
230049926006.0,,,91.0,0.0,2.0
230049926011.0,,,73.0,0.0,1.0
230049926033.0,,,,,2.0
230049926043.0,,,,,2.0
230049926044.0,,,52.0,1.0,2.0
230049926048.0,215.0,,52.0,1.0,2.0
230049926054.0,,,91.0,1.0,2.0
230049955018.0,,,,,1.0
230049955021.0,,,,,2.0
230049955031.0,515.0,,73.0,0.0,1.0
230049955034.0,,,73.0,0.0,1.0
230049955059.0,,,56.0,1.0,1.0
230049955061.0,9.0,,78.0,1.0,2.0
230051607145.0,,,77.0,5.0,2.0
230051607146.0,,,38.0,1.0,1.0
230051607148.0,,,91.0,1.0,2.0
230051607149.0,315.0,,54.0,3.0,2.0
230051607162.0,,,,,2.0
230051607163.0,,,38.0,1.0,1.0
230051607168.0,,,80.0,7.0,1.0
230051607176.0,,,80.0,7.0,2.0
230051607181.0,,,80.0,7.0,2.0
230051607186.0,,,73.0,5.0,1.0
230051607187.0,,,70.0,1.0,1.0
230051607195.0,,,77.0,5.0,2.0
230051607198.0,,,55.0,3.0,2.0
230051607199.0,,,70.0,1.0,1.0
230051607200.0,,,71.0,2.0,1.0
230051607201.0,15.0,,77.0,5.0,2.0
230051607214.0,,,73.0,5.0,1.0
230051607220.0,,,77.0,5.0,2.0
230051607221.0,,,73.0,5.0,1.0
230051607223.0,,,71.0,2.0,1.0
230059406050.0,,,46.0,1.0,1.0
230059406053.0,8.0,,73.0,5.0,1.0
230059406056.0,0.0,,73.0,0.0,1.0
230059406057.0,0.0,,73.0,0.0,1.0
230059406058.0,,,52.0,1.0,2.0
230059406062.0,,,73.0,0.0,1.0
230059406072.0,,,38.0,1.0,1.0
230059406074.0,,,80.0,7.0,1.0
230059406075.0,,,80.0,7.0,1.0
230059406077.0,,,80.0,7.0,1.0
230059406079.0,,,80.0,7.0,2.0
230059406084.0,,,77.0,5.0,2.0
230059406090.0,,,55.0,3.0,2.0
230059406104.0,,,77.0,5.0,2.0
230059406113.0,,,73.0,5.0,1.0
230059535015.0,,,54.0,3.0,2.0
230059535023.0,,,80.0,7.0,1.0
230059535027.0,,,80.0,7.0,2.0
230059535030.0,,,80.0,7.0,2.0
230059535033.0,,,80.0,7.0,1.0
230059535054.0,,,55.0,3.0,2.0
230059535057.0,,,73.0,5.0,1.0
230059535059.0,,,73.0,5.0,1.0
230059535061.0,,,89.0,2.0,2.0
230059535064.0,,,77.0,5.0,2.0
230059535067.0,,,76.0,1.0,2.0
230059543099.0,,,73.0,0.0,1.0
230059543102.0,,,68.0,1.0,2.0
230059543104.0,,,55.0,5.0,2.0
230059635069.0,,,68.0,1.0,2.0
230059635072.0,1115.0,,50.0,5.0,1.0
230059635073.0,,,73.0,0.0,1.0
230059635074.0,,,73.0,5.0,1.0
230059635076.0,,,73.0,0.0,1.0
230059635078.0,,,38.0,1.0,1.0
230059635080.0,,,89.0,1.0,1.0
230059635083.0,,,52.0,1.0,2.0
230059635088.0,0.0,,54.0,3.0,2.0
230059635090.0,,,54.0,3.0,2.0
230059635091.0,,,80.0,7.0,2.0
230059635101.0,,,73.0,5.0,1.0
230059635112.0,,,55.0,3.0,2.0
230059635117.0,,,71.0,2.0,1.0
230059635118.0,,,76.0,1.0,2.0
230059635120.0,,,76.0,1.0,2.0
230059635130.0,,,76.0,1.0,2.0
230059635131.0,,,71.0,2.0,1.0
230059635133.0,,,77.0,5.0,2.0
230059635135.0,,,52.0,1.0,2.0
230059635138.0,,,89.0,2.0,2.0
230059635139.0,,,77.0,5.0,2.0
230059841143.0,,,68.0,1.0,2.0
230059841144.0,,,77.0,5.0,2.0
230059841145.0,,,38.0,1.0,1.0
230059841150.0,,,73.0,0.0,1.0
230059841155.0,,,52.0,1.0,2.0
230059841169.0,,,80.0,7.0,1.0
230059841171.0,,,80.0,7.0,2.0
230059841176.0,,,80.0,7.0,2.0
230059841177.0,,,80.0,7.0,1.0
230059841184.0,,,73.0,5.0,1.0
230059841196.0,,,70.0,1.0,1.0
230059841201.0,,,73.0,5.0,1.0
230059841203.0,,,70.0,1.0,1.0
230059841207.0,,,73.0,5.0,1.0
230059841208.0,,,70.0,1.0,1.0
230059841221.0,,,71.0,2.0,1.0
230059878119.0,,,73.0,5.0,1.0
230059878125.0,,,77.0,5.0,2.0
230059878128.0,,,55.0,5.0,2.0
230059878129.0,,,77.0,5.0,2.0
230059878131.0,,,89.0,1.0,1.0
230059878134.0,,,38.0,1.0,1.0
230059878136.0,,,52.0,1.0,2.0
230059878140.0,,,38.0,1.0,1.0
230059878144.0,,,54.0,3.0,2.0
230059878145.0,,,38.0,1.0,1.0
230059878153.0,,,80.0,7.0,2.0
230059878155.0,,,80.0,7.0,1.0
230059878165.0,,,73.0,5.0,1.0
230059878182.0,,,77.0,5.0,2.0
230059878189.0,,,,,2.0
230059878193.0,,,73.0,5.0,1.0
230059878195.0,,,89.0,2.0,2.0
230059878196.0,,,73.0,5.0,1.0
230059878199.0,,,73.0,0.0,1.0
230118019002.0,2011.0,,76.0,4.0,2.0
230118019006.0,783.0,,87.0,4.0,1.0
230118019009.0,294.0,,115.0,,2.0
230118019010.0,372.0,,70.0,2.0,2.0
230118019020.0,555.0,,65.0,3.0,1.0
230118019021.0,,,,,2.0
230118019025.0,,,,,1.0
230118019026.0,,,,,2.0
230118019029.0,2000.0,,1450.0,,2.0
230118019032.0,,,57.0,5.0,1.0
230118019034.0,,,,,2.0
230118019037.0,,,,,2.0
230118019038.0,,,250.0,,2.0
230118019043.0,,,57.0,5.0,1.0
230118019044.0,,,264.0,5.0,1.0
230118019050.0,,,,,2.0
230118019052.0,,,,,2.0
230118019057.0,,,57.0,5.0,1.0
230118310002.0,838.0,,48.0,5.0,1.0
